Название продукции, Количество, Масса единицы (кг), Объём единицы (м³), Общаяя масса (кг), Общий объём (м³)
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенисcccccccccccccc, 100000000000000000000,10000000000000000,100000000000000000000,1000000000000000000000000000000,1000000000000000000000
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
пенис, 10,1,1,10,10
